Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
ak,10841919,1,"Saturday, November  9, 2013 03:07:06 UTC",60.9797,-151.5822,1.5,89.00,22,"Kenai Peninsula, Alaska"
ak,10841920,1,"Saturday, November  9, 2013 03:06:21 UTC",63.0307,-149.7486,1.0,100.00,13,"Central Alaska"
ci,11389410,2,"Saturday, November  9, 2013 02:54:27 UTC",34.0028,-117.2160,1.5,10.90,14,"Greater Los Angeles area, California"
ak,10841907,1,"Saturday, November  9, 2013 02:49:47 UTC",63.1939,-148.6705,1.0,25.00,10,"Central Alaska"
ci,11389402,2,"Saturday, November  9, 2013 02:49:27 UTC",33.9942,-117.2113,1.2,10.70,33,"Greater Los Angeles area, California"
ak,10841905,1,"Saturday, November  9, 2013 02:48:17 UTC",61.7070,-149.8955,1.3,50.70, 6,"Southern Alaska"
ci,11389394,2,"Saturday, November  9, 2013 02:42:03 UTC",33.9602,-117.2123,1.2,12.60,11,"Greater Los Angeles area, California"
nn,00428788,1,"Saturday, November  9, 2013 02:40:19 UTC",38.4777,-119.6014,1.1,9.50,10,"Northern California"
nn,00428786,1,"Saturday, November  9, 2013 02:26:39 UTC",38.1627,-119.9107,1.9,4.00, 5,"Central California"
nc,72103821,0,"Saturday, November  9, 2013 02:19:42 UTC",39.7808,-120.6773,1.8,8.40, 7,"Northern California"
ci,11389386,2,"Saturday, November  9, 2013 02:06:29 UTC",33.9970,-117.2203,1.5,13.00,38,"Greater Los Angeles area, California"
hv,60588961,1,"Saturday, November  9, 2013 02:01:37 UTC",19.4142,-155.2960,1.9,8.10,21,"Island of Hawaii, Hawaii"
nc,72103811,1,"Saturday, November  9, 2013 01:57:55 UTC",39.7650,-120.6892,3.0,6.00,25,"Northern California"
