Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
ak,10851980,1,"Saturday, November 16, 2013 06:55:36 UTC",64.6980,-146.8857,2.1,0.40,20,"Central Alaska"
ci,11392106,2,"Saturday, November 16, 2013 06:51:47 UTC",34.6232,-116.5435,1.4,2.10,26,"Southern California"
hv,60592411,1,"Saturday, November 16, 2013 06:43:48 UTC",19.3655,-155.2957,1.8,3.60,37,"Island of Hawaii, Hawaii"
hv,60592406,2,"Saturday, November 16, 2013 06:24:58 UTC",19.3155,-155.2233,2.2,0.80,76,"Island of Hawaii, Hawaii"
ak,10851960,1,"Saturday, November 16, 2013 06:15:07 UTC",60.6228,-147.1406,1.5,15.40, 9,"Southern Alaska"
nn,00429323,1,"Saturday, November 16, 2013 06:05:47 UTC",38.4155,-117.1677,1.7,8.90, 7,"Nevada"
ak,10851747,1,"Saturday, November 16, 2013 05:30:28 UTC",63.5348,-150.8773,1.7,7.30,13,"Central Alaska"
nc,72108356,0,"Saturday, November 16, 2013 05:28:34 UTC",39.8078,-123.7940,2.0,0.00,13,"Northern California"
ci,11392090,2,"Saturday, November 16, 2013 05:12:48 UTC",33.5092,-116.4648,1.8,9.30,53,"Southern California"
ci,11392098,2,"Saturday, November 16, 2013 05:12:48 UTC",33.5098,-116.4585,1.8,9.10,31,"Southern California"
ak,10851542,1,"Saturday, November 16, 2013 05:00:14 UTC",63.1982,-148.9375,1.3,100.00, 5,"Central Alaska"
ak,10851536,1,"Saturday, November 16, 2013 04:35:20 UTC",63.5873,-148.5209,1.5,100.00, 5,"Central Alaska"
uw,60631026,1,"Saturday, November 16, 2013 04:21:55 UTC",47.8742,-121.6452,2.3,9.60,23,"Washington"
ak,10851525,1,"Saturday, November 16, 2013 04:20:34 UTC",63.7761,-148.5576,1.4,100.00, 6,"Central Alaska"
ak,10851521,1,"Saturday, November 16, 2013 04:06:06 UTC",63.4084,-146.7803,1.9,100.00, 6,"Central Alaska"
nn,00429319,1,"Saturday, November 16, 2013 04:03:14 UTC",37.3125,-115.3555,1.7,2.00,20,"Nevada"
uw,60631006,3,"Saturday, November 16, 2013 03:47:38 UTC",47.8702,-121.6507,1.2,11.80,16,"Washington"
pt,13320000,B,"Saturday, November 16, 2013 03:34:31 UTC",-60.4400,-46.9150,7.4,23.00, 7,"Scotia Sea"
ak,10851310,1,"Saturday, November 16, 2013 03:22:23 UTC",61.1039,-151.0487,2.0,49.90,38,"Southern Alaska"
ak,10851115,2,"Saturday, November 16, 2013 02:50:02 UTC",63.4959,-149.5474,1.1,109.20, 8,"Central Alaska"
ak,10851107,1,"Saturday, November 16, 2013 02:35:24 UTC",63.2598,-151.1441,1.4,8.90,11,"Central Alaska"
ak,10851102,1,"Saturday, November 16, 2013 02:27:16 UTC",62.8524,-149.7451,1.2,71.40,12,"Central Alaska"
uw,60630956,1,"Saturday, November 16, 2013 02:26:15 UTC",42.9670,-117.1250,2.4,0.80, 9,"Oregon"
nc,72108301,0,"Saturday, November 16, 2013 02:22:45 UTC",38.8095,-122.8138,1.0,2.50,19,"Northern California"
ak,10851085,1,"Saturday, November 16, 2013 02:09:23 UTC",61.4256,-140.7330,1.7,14.60,14,"Southern Yukon Territory, Canada"
pr,13320000,0,"Saturday, November 16, 2013 02:02:24 UTC",18.7280,-66.9345,2.6,62.00,10,"Puerto Rico region"
ci,11392058,2,"Saturday, November 16, 2013 01:41:00 UTC",33.9378,-116.7202,1.3,13.80,38,"Southern California"
nc,72108281,1,"Saturday, November 16, 2013 01:37:11 UTC",38.8092,-122.7430,2.0,2.40,41,"Northern California"
ak,10850863,2,"Saturday, November 16, 2013 01:11:35 UTC",59.8237,-153.3354,2.9,116.70,13,"Southern Alaska"
ak,10850853,2,"Saturday, November 16, 2013 00:34:54 UTC",62.2963,-151.1289,1.3,87.30, 9,"Central Alaska"
ci,11392050,2,"Saturday, November 16, 2013 00:28:18 UTC",33.5152,-116.4663,1.2,10.10,24,"Southern California"
ak,10850843,1,"Saturday, November 16, 2013 00:24:20 UTC",63.6934,-149.3053,1.2,6.20,16,"Central Alaska"
ak,10850840,2,"Saturday, November 16, 2013 00:13:30 UTC",63.2514,-150.4612,1.2,117.30, 9,"Central Alaska"
uw,60630886,2,"Saturday, November 16, 2013 00:03:51 UTC",44.1087,-123.0667,1.4,0.00, 7,"Oregon"
ak,10850827,1,"Friday, November 15, 2013 23:37:33 UTC",63.0739,-151.4053,1.5,4.40,14,"Central Alaska"
uw,60630836,2,"Friday, November 15, 2013 23:04:27 UTC",47.6378,-120.2240,1.2,0.00, 6,"Washington"
nc,72108211,1,"Friday, November 15, 2013 22:30:56 UTC",38.8158,-122.7913,1.6,3.20,32,"Northern California"
ci,11392034,2,"Friday, November 15, 2013 22:30:19 UTC",32.9297,-116.2590,1.3,6.40, 9,"Southern California"
uw,60630771,2,"Friday, November 15, 2013 22:13:13 UTC",49.4772,-120.5888,2.2,0.00, 5,"British Columbia, Canada"
ci,11392026,6,"Friday, November 15, 2013 22:03:30 UTC",33.2278,-117.1713,1.6,0.00, 7,"San Diego County urban area, California"
nc,72108201,0,"Friday, November 15, 2013 21:47:49 UTC",36.8740,-121.5905,1.6,1.20,10,"Central California"
uw,60630716,2,"Friday, November 15, 2013 21:21:36 UTC",47.8802,-121.6372,2.0,7.40,28,"Washington"
ci,11392018,4,"Friday, November 15, 2013 21:19:45 UTC",34.0267,-117.2212,1.4,17.50, 9,"Greater Los Angeles area, California"
ak,10850554,2,"Friday, November 15, 2013 21:10:06 UTC",62.9203,-149.4455,1.0,81.70,16,"Central Alaska"
ak,10850362,1,"Friday, November 15, 2013 20:55:36 UTC",62.4858,-151.6573,1.5,2.20, 5,"Central Alaska"
uw,60630641,3,"Friday, November 15, 2013 20:35:18 UTC",47.8765,-121.6447,2.1,8.90,25,"Washington"
ak,10850303,1,"Friday, November 15, 2013 19:55:52 UTC",61.1362,-151.5238,1.6,68.40,13,"Southern Alaska"
nc,72108126,1,"Friday, November 15, 2013 19:51:38 UTC",38.8098,-122.7970,1.6,3.10,33,"Northern California"
uw,60630551,3,"Friday, November 15, 2013 19:43:53 UTC",47.8515,-122.0298,1.4,0.00,11,"Seattle-Tacoma urban area, Washington"
ci,11392002,2,"Friday, November 15, 2013 19:32:13 UTC",35.0492,-117.6748,1.7,0.00, 9,"Southern California"
nc,72108106,0,"Friday, November 15, 2013 19:14:57 UTC",38.7643,-122.7417,1.0,2.30,18,"Northern California"
nn,00429277,1,"Friday, November 15, 2013 19:14:36 UTC",39.8120,-119.7853,1.1,11.80,21,"Nevada"
ak,10850293,2,"Friday, November 15, 2013 19:00:06 UTC",62.9697,-150.0793,1.2,97.00,15,"Central Alaska"
ak,10850119,2,"Friday, November 15, 2013 18:55:05 UTC",53.7192,-163.2257,3.4,49.00,21,"Unimak Island region, Alaska"
hv,60592141,1,"Friday, November 15, 2013 18:53:39 UTC",19.2697,-155.0572,2.0,47.00,63,"Island of Hawaii, Hawaii"
ak,10850085,1,"Friday, November 15, 2013 18:46:22 UTC",63.5427,-147.8953,1.3,1.10,17,"Central Alaska"
ak,10849774,1,"Friday, November 15, 2013 18:35:09 UTC",62.2581,-150.6402,1.6,12.00,15,"Central Alaska"
nc,72108076,1,"Friday, November 15, 2013 18:34:50 UTC",38.8097,-122.8223,2.0,2.40,31,"Northern California"
nc,72108071,0,"Friday, November 15, 2013 18:31:20 UTC",37.3113,-122.1097,2.0,0.90, 8,"San Francisco Bay area, California"
ci,11391994,7,"Friday, November 15, 2013 18:05:59 UTC",34.3412,-116.8787,1.2,0.00,15,"Southern California"
